TITLE,URL,Success_Abstract
Telefónica Telecommunications (Argentina): Enhancing Customer Experience in Software Quality Assurance,https://www.getronics.com/telefonica-telecommunications-movistar-argentina-agile-transformation/,"A recent collaboration with Getronics significantly improved the quality and reliability of the mobile app experience for one of the country’s leading telecommunications companies. Partnering with one of the largest telecommunications companies in Argentina, Getronics contributes to the continuous innovation of the client’s mobile app, implementing quality assurance services with agile methodologies. Telefónica Telecommunications, S. A. is a Spanish multinational telecommunications company headquartered in Madrid. It is the fourth-largest telecommunications company in Europe and the thirteenth worldwide. In Argentina, Movistar, the brand representing Telefónica, has over 11,000 employees and more than 16 million users. The Challenge Movistar Argentina needed to implement a new service adopting agile methodologies with innovative, faster, and more effective solutions for its users to ensure the functionality of its platforms. The goal was to implement a Testing Factory & QA service, covering compatibility, accessibility, performance, automation, and UX/UI testing, with a service model based on indicators and KPIs. Getronics presented a superior proposal that met the high industry standards required by the client. With proven experience in the telecommunications market, and extensive business knowledge, we supported Movistar Argentina in meeting this new challenge. The Solution Getronics acted as a key partner, working closely with the Movistar Argentina team to raise the quality standards of the mobile app. From the start, our approach was collaborative and results-oriented. We implemented a comprehensive set of functional and non-functional tests which were designed to ensure the reliability of performance on their mobile app, Mi Movistar. This process included new testing standards and procedures, which gave complete coverage at every stage of development. We created a collaborative space known as the Certification Discipline. Here, we worked closely to strengthen and improve software certification practices. As needs and challenges evolved, we expanded this space to include new agile teams. We applied specialised procedures in compatibility, accessibility, performance, automation, and user experience (UX/UI) testing, among other critical research areas. Key Results After the changes were made, Movistar Argentina reported significant results in terms of quality: Early Deliveries: The first MVP with the new software architecture was achieved in just 3 months. Improved Product Quality: We detected and resolved over 2,000 code defects in certification environments. We executed over 3,500 automated regressions, saving more than 3,100 hours in manual testing time. We improved accessibility with over 40,000 test cases. Expansion of Agile Culture: Since 2020, the service has been growing steadily, with a current average of 11,000 hours of execution per month. Creation of the Certification Discipline group, defining processes for functional, non-functional, and automated testing. Top 1 Telecommunications App in the Market: In partnership with the Movistar team, we improved the NPS (Net Promoter Score) in the Android and iOS stores. Alliance with Getronics as a Strategic Technology Partner, with over 20 years of collaboration. At Getronics, we will continue to refine and professionalise the Certification Discipline while continuing to innovate to contribute to Movistar’s ongoing success, with a focus on user experience. We are committed to creating long-term value, which is sustainable, innovative, and profitable. * In software development, “regression” refers to re-executing previous tests to ensure recent changes have not introduced new errors. This process is essential to maintain the quality and stability of the software, and automating these tests saves time and resources, ensuring continuous delivery of solutions without compromising existing functionality."
"The Council of Justice, Andalusia (Spain) relies on Getronics for ICT project management",https://www.getronics.com/the-council-of-justice-andalusia-spain-relies-on-getronics-for-ict-project-management/,"The Council of Justice, Local Administration, and Public Function of Andalusia is responsible for managing public sector competences in the Spanish region. It encompasses a wide range of services and projects related to information systems. They now rely on Getronics for optimising their ICT project management. The Council of Justice faced the challenge of improving the control and monitoring of its information systems development projects. To address this need, it issued a tender to hire the best professional services required to help the Council achieve its objectives. In this process, Getronics was found to be the highest-rated company and was awarded the contract. The client encountered difficulties in adequately controlling and supervising the execution of information systems development projects, as well as ensuring their quality in compliance with the region’s regulations. Getronics proposed implementing an ICT project management framework for software development tailored to the Council’s specific needs. This included a service delivery model through a comprehensive catalogue covering the entire project lifecycle, from development to maintenance of information systems. Additionally, management tools such as Redmine for project management and JIRA for quality assurance were added. Undoubtedly, this project was not without risks. Getronics faced significant challenges, including managing an extensive and diverse portfolio of projects in an organisational environment, which were not traditionally oriented towards project management or compliance with existing constraints on ICT projects. Benefits The solution proposed by Getronics enabled the Council to achieve effective control of its projects, meeting defined indicators, and reaching established objectives. Key benefits included the establishment of development standards, the implementation of project and quality management tools, and the automation of the software delivery lifecycle. These improvements resulted in greater efficiency, speed, and quality of projects. Getronics facilitated the work of Council staff and improved the quality of service provided to citizens. “It has been a pleasure to collaborate with Getronics. We have managed to establish a solid project management framework that has allowed us to improve our operational efficiency and meet the quality standards required by our organisation and current regulations.” Daniel González Valencia – Head of Sectoral Information Systems Service, Digital Agency of Andalusia. What can Getronics do for you? We are committed to delivering exceptional customer service, to enable your business to focus on your core strengths while entrusting your IT needs to Getronics. Getronics is a global leader in technology solutions with a team of over 4,000 colleagues in 22 centres, providing comprehensive end-to-end services across the globe. Browse our services and discover which is right for your business. You can organise a call-back from our team to talk with one of our experts."
Getronics Transforms Electronic Signature Services for RedIRIS,https://www.getronics.com/getronics-transforms-electronic-signature-services-for-rediris/,"The deployment of an electronic signature validation system, @firma, in addition to that offered by the Ministry of Digital Transformation and Public Function, allows RedIRIS to offer a more stable and efficient service to its 500 associated institutions. A New Requirement RedIRIS is the Spanish academic and research network providing advanced communication services to the national scientific and university community. It is managed directly by the Public Business Entity Red. es and funded by the Ministry of Science, Innovation, and Universities. With over 500 affiliated institutions (mostly universities and research centres), RedIRIS, through its collaboration with Crue Digitalisation, identified the need to complement the @firma service provided by the General Secretariat of Digital Administration (SGAD) of the Ministry of Digital Transformation and Public Function with a federated @firma service. This would ensure that all institutions affiliated with RedIRIS have additional access to the @firma service, which is critical for the various e-administration processes that these institutions must constantly carry out. RedIRIS needed to implement a technical infrastructure and services to meet the technological, operational, continuity, and demand needs of this service for potential users. Additionally, it required specialised support services to administer, maintain, operate, and manage the @firma electronic signature validation platform and address queries and incidents related to that platform. A Scalable Solution Getronics proposed the implementation of a scalable infrastructure solution with a cluster for managing the @firma platform. This platform included high-level security and traffic control components to handle the volume of required requests. Furthermore, a Business Intelligence (BI) solution was proposed for data exploitation, allowing proactive decision-making processes and enabling the service to adapt to fluctuations in demand. This platform also met the following key objectives for the project’s success: Integrate all information into a single analytical platform for generating customised and on-demand reports. Create a web-based dashboard generation system to enable service management to analyse service metrics and extract useful information. Ensure the platform was “self-service” so that decision-makers could generate their own reports in real-time and on-demand, without relying on IT teams. Facilitate advanced analytics to shift from reaction to anticipation, thanks to the application of Machine Learning, thus obtaining predictive models that allow managing infrastructure capacity based on available historical information. Include indicator categories such as data quality and business, such as the degree of service usage/penetration. Of course, the project was not without challenges. Coordination between different work teams was crucial to implementing the platform, including the provision of infrastructure, technical support, application development, and data analytics. Additionally, integration with the client’s systems and connections with their security and traffic systems was one of the biggest challenges for the Getronics teams. The Achieved Benefits The new electronic signature platform adds value to users compared to solely relying on the SGAD service, with which this additional deployment has been coordinated. They now have a maintenance service for platform management, incident, and problem management. Moreover, the maintenance plan is proactive through the analysis of patches, updates of new versions, capacity planning, and anticipation of problem detection. They have support services for the integration of affiliated systems with the @firma platform, including service requests and technical/functional advice. The Business Intelligence platform allows analysing platform information, with a view to improving system understanding and thus anticipating future problems. This successful collaboration between RedIRIS and Getronics resulted in the establishment of a robust electronic signature validation platform tailored to the needs of RedIRIS-affiliated institutions, ensuring higher quality, reliability, and efficiency of the service. “This project has been a complete success due to our experience in implementing similar solutions for other clients. Currently, Getronics provides operation, administration, and support services for the second largest implementation of @firma after SGAD, and the first federated platform in terms of service provision volume. This makes us well-acquainted with the solution and able to offer the best option to each administration or company” Federico Real, Service Delivery Manager at Getronics"
Repetco has partnered with Getronics for the commissioning of its new recycling plant,https://www.getronics.com/repetco-and-getronics-transforming-multilayer-plastic-recycling-with-innovation-and-technology/,"Repetco is a Spanish company that has developed a state-of-the-art factory for recycling food-grade plastic packaging and has relied on Getronics as its preferred technological partner in the commissioning of its plant in Albacete. The project presented the enormous challenge of not only starting up a factory but also establishing a company from scratch for plastic recycling. With this initiative, Repetco is changing the ecosystem of plastic recycling and promoting a sustainable and clean circular economy. Thanks to cutting-edge technology, it manages to recycle food-grade PET packaging, giving a second life to plastics that were previously very challenging to process. Through its process, food-grade PET packaging can be reused in the food industry, such as in trays or bottles, as well as in other industries like textiles, automotive, etc. The setup of this new plant has been a 360-degree project involving research and development, engineering, and digitalization consulting, with a complex process. Repetco relied on Getronics for various levels of service. From a technological perspective, the main challenge has been the complete digitalization of a new plant and its newly defined processes. Getronics has handled integration engineering, commissioning, operation, maintenance, and support for all existing solutions. The tasks in which the Getronics team participated include: Systems consultancy Consultancy during the product definition phase, from the SCADA system to communication protocols, global information systems consultancy at both operational (OT) and informational (IT) levels, specifications of different levels, and global system integration, among others. Implementation of plant systems and their integration with ERP management. Product Lifecycle Management (PLM): Manufacturing system management software, allowing all plant designs and generated documentation to have traceability. Manufacturing Execution System (MES): A system that deals with production control and planning, including a control reporting system. Development of the SCADA system A system with two control zones in the factory buildings, controlling plant production with real-time management of up to 24,000 data points and a control room in the offices. The system also serves for forensic analysis in case of failure. Production and auxiliary processes From scale systems for weighing raw materials with real-time integration of their operation to plastic identification and selection processes with optical readers, and controls of machinery for plastic washing, lamination, and shredding. Among the auxiliary processes, Getronics has taken charge, for example, of energy management (Natural Gas station and photovoltaic plant). Repetco has achieved the commissioning of this project with Getronics as the sole intermediary between OT and IT systems, leading the engineering and process areas, acting as a technological integrator for the digitalization process (MES, SAP, cybersecurity, communications, PLC…), ultimately becoming a true 360° technological partner, able to meet all the technological needs of the new plant, unifying materials, facilitating management, and reducing errors. “This project has allowed us to delve into the services and processes we offer at Getronics. We are very satisfied with the development of all phases since it has allowed us to demonstrate the broad spectrum of services and capabilities we can achieve, expanding different business areas.” Francisco Galisteo González, Head of Scada & IT/OT at Getronics."
Getronics Drives Unified Health Information System at Grupo Hospitales Parque,https://www.getronics.com/getronics-drives-unified-health-information-system-at-grupo-hospitales-parque/,"Getronics supports the Grupo Hospitales Parque, belonging to Caser Grupo Helvetia, in the unification of their Health Information System (HIS) into a single system in order to improve patient care. The goal was to achieve a unified and integrated system that would allow for continued growth, more agile decision-making, and improved outcomes. Grupo Hospitales Parque is a national hospital group established in 2012 with a philosophy of excellence in healthcare and service quality. Over the years, they have gradually incorporated renowned hospital centers in their region, some with over 40 years of experience. Currently, they are a leading hospital group in the areas where they operate (Mallorca, Canary Islands, Extremadura, and Castilla-La Mancha), experiencing strong and consistent growth, with various centers located across the country. The Challenge With the hospital group’s projected growth, there was an opportunity to invest in new technology to improve efficiency and provide higher-quality service by consolidating all the Hospital Information Systems (HIS) under a new corporate HIS called Sfere. The Solution Getronics proposed implementing Sfere as the corporate HIS for all the hospital centers within the group. This was achieved through a centralized installation with the appropriate structure and functionality to enable unified and distributed data configuration within the same setup. This approach provided the necessary flexibility to have: Unified entities, catalogs, and general processes, including patients’ medical records. Specific processes and configurations tailored to the needs of each center. The Sfere system was first implemented in the Canary Islands centers (Tenerife, Fuerteventura, and Lanzarote) before being extended to the rest of the centers. Additionally, as a provider of a comprehensive solution, the implementation of third-party systems (Navision for logistics management, OGS for patient guidance) was carried out, all integrated with the Sfere solution. Thanks to the collaboration, teamwork, and good understanding between Getronics and Hospitales Parque, the project was successfully implemented, resulting in a unique, accessible, and responsive information system that meets their needs. Benefits achieved after implementing Sfere Improved healthcare and administrative processes, leading to better cost control, billing accuracy, and quality of care. Access to an integrated global system with the necessary infrastructure, technical capacity, and functionality to facilitate growth and the addition of additional features and integrations with other global and specific applications. Recoding and unification of the group’s catalogs as a basis for comprehensive data analysis, enabling informed decision-making. Reduced costs and improved performance in overall system maintenance. Exponential improvement in time and outcomes (and consequently, satisfaction) during the implementation of new hospital centers within the group, utilizing existing components of the platform and facilitating global integration."
INSEAD: Transforming to a digital-first learning model,https://www.getronics.com/insead-digital-transformation-learning-model/,"When the pandemic hit, the international business school INSEAD had to rapidly change its technology, processes, and culture to deliver courses online. The pandemic provided a unique opportunity for the digital transformation of its IT systems and to develop new, data-driven solutions. Customer problem INSEAD is one of the world’s leading and largest graduate business schools. With campuses in four regions and more than 66,000 alumni distributed across 180 countries, the school is supporting tens of thousands of faculty, staff, students, and alumni. Like all education providers, INSEAD was required to re-invent, modify, and adapt its digital strategy during the COVID-19 pandemic. Almost overnight, INSEAD established a shift to an online delivery model, delivering all programmes, interactions, and assessments digitally. Staff transitioned immediately to working from home, putting pressure on existing systems, software, and hardware. Rapidly shifting to an online model highlighted severe shortcomings in INSEAD’s existing digital technology and processes – and demanded urgent action. Inspiring online learners INSEAD engaged Getronics to provide an end-to-end solution, including new technology, service-desk support, and seamless implementation. The crucial challenge was to deliver a rich and rewarding learning experience entirely online. The solution focussed on three key pillars: technology, processes, and people. During the pandemic, INSEAD introduced several cutting-edge technologies to help enhance the user experience, improve collaboration, and provide a group learning experience. To replicate the in-person experience, INSEAD developed new hybrid and virtual teaching models. Students could access virtual reality environments, bringing together people, cultures, and ideas through immersive experiences wherever they were in the world. Always-on support for staff When INSEAD made the shift from traditional IT to virtual access, it brought about a rapid culture change that their staff had to adapt to. To make this move smoother, it was essential to provide them with full support through easily accessible channels. INSEAD staff working remotely could access service desk agents provided endpoint management and remote troubleshooting. Microsoft Teams chat provided a convenient, always-on solution for staff. To support the transition, INSEAD staff could access live webinars to help them understand and effectively use remote working technologies. This was instrumental in introducing new ways of working to INSEAD’s teams. Access to a growing repository of guidance and support from experienced agents gave staff the confidence and capability to transition to an online-first approach. Technology & Solution INSEAD has modernised its entire digital solution. The business has introduced a Level 1.5 Global Service Desk, a Level 1.5 On-site IT and AV Support for its Asia Campus, and Level 2 Global Infrastructure Support. Data is at the heart of INSEAD’s strategy, with the information enabling the business to drive operational excellence and improve processes. Today, the school can access data that are descriptive, diagnostic, predictive, and prescriptive. This data drives better decisions, improves the learner experience, and boosts business performance. Getronics is proud to have partnered with INSEAD, helping the school achieve a successful digital transition during a global pandemic. In addition, we are exploring how Getronics’ expertise in AI and our SysTrack monitoring solution can supercharge the employee experience."
Transforming MEZ Group digital fabric,https://www.getronics.com/transforming-mez-group-digital-fabric-cloud-platform/,"A new cloud computing solution has transformed MEZ Group operations. Replacing outdated software and systems with a new integrated cloud platform has optimised operations and supercharged security. The cloud has changed MEZ’s digital fabric, providing a foundation for business growth. Outdated systems MEZ Group has customers worldwide for its high-quality yarns and craft accessories. The business had enjoyed substantial online growth but struggled with old technology and software. Limitations caused by legacy platforms meant the company found itself unable to deal with rapidly changing customer demands. More worryingly, such systems weren’t secure, leaving the business at risk of attack. Business leaders understood the critical importance of digital infrastructure to expansion. While customer data always remained protected, the MEZ Group leadership team was aware of emerging threats and wanted to increase protection for the future. The solution was a shift from legacy systems to an integrated cloud solution. Migrating to the cloud The project began by analysing MEZ Group requirements, strategy, and existing software and hardware to identify a suitable solution. Working with the in-house digital team, we defined deliverables and developed a digital road map. Microsoft Azure was agreed upon as the most suitable cloud platform for security and scalability. “Our previous, on-premise infrastructure was very inflexible. Due to the seasonal nature of the fashion industry, the ability to scale up or down to meet rapidly changing demand was crucial to our success. Therefore, the additional flexibility provided by the Azure cloud platform is a huge benefit.” Claudia, Gebhart – Head of IT, MEZ Group MEZ Group transitioned to a consumption-based pricing plan, where the business only pays for the services and capacity used. This has delivered tremendous cost savings while providing greater transparency and predictability. As a result, the business has experienced cost savings of 50% – which is having a significant impact on the business’s profitability in an increasingly challenging market. Tailor-made Solutions: IT-as-a-Service Cloud solutions enable the customisation of services and software for each user. MEZ Group now uses a persona-based consumption model, where staff has access to the software they need to perform their roles. This IT-as-a-service approach has considerably impacted cutting operating costs and increased security. Light users, for example, may only have access to basic licenses and small amounts of support. Standard users may have their own computers and access to a much wider range of software. Introducing a persona-based IT-as-a-Service model enables MEZ Group to make the most efficient use of resources. Licenses are only produced and paid for those staff that need them. In the first three months alone, this helped the business to cut licensing costs by 20%. Operating an IT-as-a-service model gives the MEZ Group total control over which users have access to software, systems, and data. In addition, tiered access provides peace of mind and protection for all customer data, ensuring only those who need access to it have it. Building a secure system MEZ Groups machines, software, and systems have all been updated. Advanced endpoint protection, device monitoring, and patch management provide confidence that systems remain secure. To support the roll-out of the cloud, clear governance rules were developed to limit access to sensitive data. The business benefits from more robust data reporting and compliance standards. These add extra levels of protection for information, systems, and staff. Leaders can be confident that they have the highest protection from digital dangers and online threats. Redesigning the digital fabric of a business? Digital transformation is an ongoing process – and we’re proud to partner with MEZ Group for the long term. Together, we have completely redesigned the digital fabric of the business, providing a secure foundation for growth. As well as supercharging security, our digital solutions deliver significant savings – giving MEZ Group the confidence to invest for the future. “Working in partnership with Getronics, we have reshaped the company’s IT services, accessing new benefits around cost, security, and efficiency. Now, we have confidence that our entire business is ready for the journey ahead.” Claudia, Gebhart – Head of IT, MEZ Group"
Clínica de Girona: unified communications to transform patient care,https://www.getronics.com/clinica-de-girona-unified-communications-to-transform-patient-care/,"Getronics is working with Spanish healthcare provider Clínica de Girona to introduce innovative new technology to its new hospital. The unified communications system is transforming care and improving patient outcomes. Download this case study in PDF (English) Clínica de Girona is one of Spain’s most respected surgical and medical healthcare providers. Founded in 1934, the Clínica de Girona has invested in a new state-of-the-art hospital that’s three times larger than the building it replaces. The new Girona Clinic offers incredible facilities for patients, including: ?120 in-patient beds ?eight intelligent, high-definition operating rooms ?three delivery rooms and three for endoscopy?eight boxes in the intensive care unit (ICU) and ten emergency boxes ?a day hospital areaoncology, and pain medicine, with 20 individual boxes?a minor outpatient surgery room ?hemodialysis rooms Behind the scenes, patients are supported by various services, including permanent diagnostic imaging, clinical analysis, and pathological anatomy services. A comprehensive communication system Designing the new building has been a great challenge but presents a unique opportunity for Clínica de Girona to modernise its communication systems – and they selected Getronics as their partner. Clínica de Girona wanted to move from disparate communication systems to a comprehensive solution. Within the new facility, innovative IP-based communications were needed to streamline hospital processes and improve clinical diagnosis and treatment. The key is providing clinicians with the right information at the right time, empowering them to make the best decisions for every patient. What Getronics did 1. Communications that power clinical decision-making In the bustling Clínica de Girona hospital, agency staff and external contractors work alongside employees, sharing information and insights to improve diagnosis and treatment. Clinicians at Clínica de Girona use a range of tools, technologies, and communication systems to deliver patient care, but the existing system was slow and inefficient. The challenge for Getronics was to develop an integrated communications platform that maintains an individual’s operation freedom but integrates them into the core system. Getronics’ solution was to introduce a state-of-the-art telephony platform, the NEC SV9500, to power communication and collaboration. The platform integrates the management and automation of hospital processes, providing essential information to clinicians when needed. The new solution transforms a confusing tangle of hardware devices and cables into an easily accessible software application. The system is scalable, making it easy to add functionality and integrate new systems and services. We call it liquid telephony, and it’s at the heart of transforming patient care at Clínica de Girona. 2. Unified communications throughout the clinic Clinicians use standard processes when treating patients, but detailed information which was spread across various systems. Getronics’ solution was to unify communications processes, giving instant access to those in the clinic. Clinicians can now access crucial data on processes in a single place. The system covers all critical communication processes, including patient care and nursing. Access to protocols ensures that procedures are followed in a medical emergency, such as a stroke, heart attack or a patient requiring CPR. Clinicians aren’t stuck to a desk but need information on the move. So, we built the platform using wireless IP DECT technology. As well as enabling clinicians to access the information they need wherever they are, installation costs are lower when compared to traditional systems. 3. Robust security Any system failure could threaten patients’ lives, so we built on the strongest foundations. As a result, our engineers have developed a system that’s guaranteed to deliver an incredible 99.999% of uptime. 4. Controlling cost-centres Getronics’ solution converts telephony into an application enabling Clinica de Girona to capture it for other applications. The system automatically calculates costs and enables each department to be billed based on usage, not estimates and guesswork. Delivering impact from day one Getronics has worked closely with Clinica de Girona to ensure the system and solution are effective from the minute the clinic opened for patients. We delivered the new communication system on time and within budget. The new communications system: includes over 600 extensions and fixed IP terminals connected and IP DECT wireless solution supporting 100 healthcare professionalsprovides a secure connection to the public network via IP link SIP standarddelivers access to applications for the patient care centre and unified communicationssupports secure remote workingenables smart processing and the automation of communication protocols for emergencies and medical processesensures accurate budget management and control applications. Future-proofing patient care The newly opened Clínica de Girona is a genuine 21st-century hospital. It’s built to the highest standards and incorporates the latest technologies to improve the patient experience and deliver the best outcomes. The new integrated communications solution, designed and delivered by Getronics, will ensure its ability to meet its challenges in the coming decades. Clinicians and patients at the new hospital benefit from: A single platform for multiple applications and communication protocols, connecting hybrid systems of all technologies. Integrating different systems and processes under a single management centre. Alarms and alerts assigned to specific business processes, including emergencies with medical action protocols. Wireless technology enables easier communication between clinicians within the hospital. Data can help accurately allocate costs and resources efficiently. The IP solution enables unified management while giving operational independence to third parties. Getronics and the Clínica de Girona continue to work together to deliver life-changing innovations."
AMRC Cymru: helping manufacturers to become net zero,https://www.getronics.com/amrc-cymru-helping-manufacturers-to-become-net-zero/,"‘Digital first’ is an ethos that defines both AMRC Cymru and Getronics. When Getronics became aware of AMRC Cymru’s goals to support manufacturing in transitioning towards net zero carbon, they approached them with a proposal. That proposal is a Proof of Concept that is now live at AMRC Cymru, showcasing how the active management of energy use in real-time is the first step to controlling and reducing towards net zero the use of greenhouse gases in a manufacturing business. Company profile AMRC Cymru is part of the University of Sheffield Advanced Manufacturing Research Centre (AMRC). This is a network of world-leading research and innovation centres working with manufacturing companies of any size from around the globe to develop and de-risk industry-transforming solutions. Locations The AMRC now employs over 500 highly qualified researchers and engineers from around the globe, on the Advanced Manufacturing Park and Sheffield Business Park in South Yorkshire, as well as in Broughton (North Wales) and Preston (Lancashire). Capabilities Machining, integrated manufacturing, composite manufacturing, castings, design & prototyping, structural testing, medical, additive manufacturing, microscopy, metrology and manufacturing Intelligence. Helping manufacturers to become net zero One of AMRC Cymru’s key objectives is to improve the sustainability of Welsh manufacturing. The drivers for change have never been more urgent: After decades of inaction, we are now in the midst of a climate crisisThe Government has committed the UK to a legally-binding target of Net Zero emissions by 2050The public and investment community are becoming far more aware of the sustainable credentials of all businesses and are making their buying choices based on them Climate change is a scientific fact and so businesses must respond to this imminently to reach Net Zero Manufacturing. It’s just the right thing to do! Combining this with the AMRC’s ‘digital first’ approach has resulted in a partnership with Getronics to deliver – Active Real-Time Energy Measurement. If you can’t measure you can’t control: Getronics has a strong track record of delivering and managing the integration of Operational Technology (OT) and Information Technology (IT) solutions. Our Energy Management solution sits within our Sustainable Manufacturing Integrated Solutions. Just taking the initial steps towards Proactive Energy Measurement & Management has been proven to save up to 25% in electricity and 50% in water usage. Taking real-time feeds from all Operational Technology is the starting point for measuring your energy usage and for taking steps to Net Zero Manufacturing. Step 1 – Set up the Monitoring Solution Our technicians can set up the IoT sensors or use existing integration solutions, PLC, Scada, network connectivity, etc. In any sized organisation the varieties of sensors and data feeds will be numerous. We can connect almost anything to anything. The level of granularity is the key, from site to individual machine the data must be made available in real-time. Step 2 – Creating the Dashboard Online dashboard from which you can run ‘what if’ scenarios and identify exactly where the big users of energy are. The visibility of OT also allows the user to actively manage those devices from remote, secure environments. Step 3 -Active Management Establishing Pro-Active management. It has been found that by just taking these steps you can reduce the energy consumed by up to 25%. Step 4 – Define Your Strategy Defining your strategic targets and goals can be a much more informed process if you use real-time data from your facilities. This will be a longer-term project, looking at renewable energy sources, swapping out high energy users, etc. We can help you with this step with our strategic consulting service. Digital Mapping of devices Once the device has been connected, it can be mapped across your facilities: The Future Any element of OT can be connected to the Getronics solution. HVAC, BMS, Lighting Systems, Security, Shopfloor systems, Robots, Conveyers, Water pumps, etc. Delivering a fully connected solution not only gives the ability to manage energy and waste but it can also be upgraded to include, condition monitoring, predictive maintenance, service management, etc. Automating the management and maintenance of the devices is the logical next step. We see the future scope of the AMRC Cymru project growing to prove the technology and demonstrate the multiple uses that real-time data can enable. ’We were very happy to support the proof of concept delivered by Getronics at AMRC Cymru. The work aligns perfectly with our goal of improving manufacturers’ productivity, performance and sustainability by incorporating innovative digital technologies.’ Andy Silcox, AMRC Cymru Research Director"
Ford: providing a wide range of Global Network Services,https://www.getronics.com/ford-providing-a-wide-range-of-global-network-services/,"Ford Europe has been an active Getronics customer for more than 40 years, beginning in 1980 with former Wang Global (which was acquired by Getronics in 1999). Flexibility, quality, and responsiveness are core to our DNA and these key factors enable Getronics to continue to build our success and provide assurance on a wide range of Global Network Services to our strategic global customer Ford. Case study details Solution Network Onsite Support, Project Implementation Services, Second and Third Level Remote Network Expertise Support. Company profile Ford Motor Company is a global automotive industry leader, that manufactures and distributes automobiles across six continents. With US$155.9 billion (2019) revenue, Ford’s market position is No 5th, with plants in over 20 countries. Locations Ford is headquartered in Dearborn Michigan, the USA with 190,000+ employees worldwide. They also have a presence in 200 countries around the world and direct operations in 77 countries. Challenge At the end of 2010, Ford started their search to find a global IT support provider, capable to deliver On-site Network Services for data centers, offices, warehouses, and critical production facilities mainly in North America and Europe. The highest required SLA is 24/7 2-hour resolution for critical sites with dedicated resources, followed by 4-hour resolution for Hubs and NBD for smaller local offices. Service needed to support a total of more than 15,000 network assets spread over 290+ sites are supported including DCs in North America, APAC, and Europe. The objective Ford Europe has been an active Getronics customer for more than 40 years, beginning in 1980 with former Wang Global (which was acquired by Getronics in 1999). Based on this long-standing, trusted, and proven relationship, Getronics was awarded the Maintenance Contract for Ford’s Global Network in 2011, covering more than 290 sites over a total of 26 countries in scope in Europe, the USA, and APAC. The scope of sites includes plants, warehouses, and offices as well as data centers and hubs. The contract had an initial term of three years, and due to Ford’s positive service experience, Getronics has continued to provide these services to Ford for almost 10 years maintaining their confidence and quality of services along the way. The global support services that Getronics provides to Ford under this contract comprise three functions: Hardware Break-Fix of supported devicesOn-site fault isolation supports network problemsAnd implementation of physical changes to network devices Services include both dedicated on-site resources in the major countries and per-incident dispatch resolution to local sites. Dispatch requests typically originate from Ford’s Global Service Desk if the network problem cannot be solved remotely. Additionally, Getronics, won a second global RFP in 2016 to deliver Network Planning and Implementation Services including Wi-Fi surveys in over 35 countries in all regions. Getronics was able to win this RFP due to consistent service delivery excellence in the previous years, with continuous green SLAs reported and no escalations. Along with the onsite services, Getronics expanded our service footprint within Ford in 2016 to include the delivery of a Remote Network Support contract to provide CNA support for Ford’s global layer 2 and layer 3 LAN and WAN across numerous technologies, as well as providing Network Management System (NMS) Tools to support their Global IP Network with a team of 10 people located at Ford’s offices in the UK and Germany forming the European arm of Ford’s follow-the-sun network support model. The Getronics solution A single global provider for all countriesIncreased efficiencies and functionalitiesCost savingsIncreased delivery performance with consistent qualityA single point of contact and contract for all their global entities and IT business needsAn ongoing governance model with a dedicated Getronics’ Service managementTeam interfacing and working hand-in-hand with Ford’s designated counterpartsFord can rely on Getronics’ expertise to ensure their networks are in good health, that any network issues are proactively managed and resolved, and that the critical network is available to Ford’s operationsOptimized IT-support experience and cooperation with the Ford internal teams across the globe Why Getronics? The international Getronics Global Services team which is also built upon our Global Workspace Alliance (GWA) framework and operating principles, worked as the pillar to understand Ford’s business objectives, build key relationships, and pro-actively define future IT requirements. Getronics provided the needed flexibility to Ford ensuring that our solutions were the best fit for their business. We are also working in close partnership with our specialized Network Services Partner in North America to fully support the requirements of Ford in this region. Our successful Global Service Delivery Model including seamless transition and competitive pricing convinced Ford that Getronics is the right partner to deliver these important services globally. Flexibility, quality, and responsiveness are core to our DNA and these key factors enable Getronics to continue to build our success and provide assurance to our strategic global customer Ford."
